Time resolution is 1 ps
t=             1660000, clk=0, reset=0, enable=1, we=0, wra=1a, wrd=  0, t1attempts=01b, t1fails=000, t2attempts=000, t2fails=000
t=             1670000, clk=1, reset=0, enable=1, we=0, wra=1a, wrd=  0, t1attempts=01b, t1fails=000, t2attempts=000, t2fails=000
t=             1680000, clk=0, reset=0, enable=1, we=1, wra=1b, wrd=  0, t1attempts=01c, t1fails=000, t2attempts=000, t2fails=000
t=             1690000, clk=1, reset=0, enable=1, we=1, wra=1b, wrd=  0, t1attempts=01c, t1fails=000, t2attempts=000, t2fails=000
t=             1700000, clk=0, reset=0, enable=1, we=0, wra=1b, wrd=  0, t1attempts=01c, t1fails=000, t2attempts=000, t2fails=000
t=             1710000, clk=1, reset=0, enable=1, we=0, wra=1b, wrd=  0, t1attempts=01c, t1fails=000, t2attempts=000, t2fails=000
t=             1720000, clk=0, reset=0, enable=1, we=0, wra=1b, wrd=  0, t1attempts=01c, t1fails=000, t2attempts=000, t2fails=000
t=             1730000, clk=1, reset=0, enable=1, we=0, wra=1b, wrd=  0, t1attempts=01c, t1fails=000, t2attempts=000, t2fails=000
t=             1740000, clk=0, reset=0, enable=1, we=1, wra=1c, wrd=  0, t1attempts=01d, t1fails=000, t2attempts=000, t2fails=000
t=             1750000, clk=1, reset=0, enable=1, we=1, wra=1c, wrd=  0, t1attempts=01d, t1fails=000, t2attempts=000, t2fails=000
t=             1760000, clk=0, reset=0, enable=1, we=0, wra=1c, wrd=  0, t1attempts=01d, t1fails=000, t2attempts=000, t2fails=000
t=             1770000, clk=1, reset=0, enable=1, we=0, wra=1c, wrd=  0, t1attempts=01d, t1fails=000, t2attempts=000, t2fails=000
t=             1780000, clk=0, reset=0, enable=1, we=0, wra=1c, wrd=  0, t1attempts=01d, t1fails=000, t2attempts=000, t2fails=000
t=             1790000, clk=1, reset=0, enable=1, we=0, wra=1c, wrd=  0, t1attempts=01d, t1fails=000, t2attempts=000, t2fails=000
t=             1800000, clk=0, reset=0, enable=1, we=1, wra=1d, wrd=  0, t1attempts=01e, t1fails=000, t2attempts=000, t2fails=000
t=             1810000, clk=1, reset=0, enable=1, we=1, wra=1d, wrd=  0, t1attempts=01e, t1fails=000, t2attempts=000, t2fails=000
t=             1820000, clk=0, reset=0, enable=1, we=0, wra=1d, wrd=  0, t1attempts=01e, t1fails=000, t2attempts=000, t2fails=000
t=             1830000, clk=1, reset=0, enable=1, we=0, wra=1d, wrd=  0, t1attempts=01e, t1fails=000, t2attempts=000, t2fails=000
t=             1840000, clk=0, reset=0, enable=1, we=0, wra=1d, wrd=  0, t1attempts=01e, t1fails=000, t2attempts=000, t2fails=000
t=             1850000, clk=1, reset=0, enable=1, we=0, wra=1d, wrd=  0, t1attempts=01e, t1fails=000, t2attempts=000, t2fails=000
t=             1860000, clk=0, reset=0, enable=1, we=1, wra=1e, wrd=  0, t1attempts=01f, t1fails=000, t2attempts=000, t2fails=000
t=             1870000, clk=1, reset=0, enable=1, we=1, wra=1e, wrd=  0, t1attempts=01f, t1fails=000, t2attempts=000, t2fails=000
t=             1880000, clk=0, reset=0, enable=1, we=0, wra=1e, wrd=  0, t1attempts=01f, t1fails=000, t2attempts=000, t2fails=000
t=             1890000, clk=1, reset=0, enable=1, we=0, wra=1e, wrd=  0, t1attempts=01f, t1fails=000, t2attempts=000, t2fails=000
